gameID,player1,player2,moves,endState
1,RandomAgent,SmartAgent,"[6, 1, 4, 1, 7, 5, 1, 6, 2, 4, 2, 7, 2, 5]",loss
2,RandomAgent,SmartAgent,"[6, 5, 7, 5, 5, 1, 2, 5, 7, 4, 7, 3, 6, 5, 7]",win
3,RandomAgent,SmartAgent,"[4, 4, 3, 6, 1, 2, 6, 4, 2, 2, 5, 1, 5, 4, 7, 4]",loss
4,RandomAgent,SmartAgent,"[2, 1, 5, 4, 7, 2, 2, 7, 5, 3, 7, 6, 4, 4, 4, 4, 2, 1, 2, 2, 5, 5, 4, 6, 1, 6]",loss
5,RandomAgent,SmartAgent,"[1, 7, 1, 3, 6, 3, 7, 1, 6, 2, 6, 6, 7, 4, 7, 5]",loss
6,RandomAgent,SmartAgent,"[6, 1, 3, 4, 4, 4, 5, 7, 5, 3, 2, 5, 4, 1, 5, 4, 2, 2, 3, 3]",loss
7,RandomAgent,SmartAgent,"[6, 1, 4, 4, 7, 5, 2, 6, 2, 5, 2, 2, 5, 3, 2, 3]",loss
8,RandomAgent,SmartAgent,"[2, 1, 7, 1, 6, 5, 3, 2, 2, 7, 6, 5, 1, 3, 1, 1, 3, 6, 5, 7, 5, 5, 6, 1, 5, 7, 7, 4]",loss
9,RandomAgent,SmartAgent,"[5, 1, 6, 2, 4, 3, 7]",win
10,RandomAgent,SmartAgent,"[3, 3, 4, 7, 7, 6, 1, 2, 4, 3, 4, 4, 4, 4, 6, 5, 6, 5, 5, 5, 2, 6, 3, 6, 5, 6, 3, 5, 1, 3]",loss
11,RandomAgent,SmartAgent,"[5, 3, 7, 4, 3, 5, 1, 7, 6, 6, 2, 4]",loss
12,RandomAgent,SmartAgent,"[3, 2, 4, 7, 6, 5, 7, 2, 5, 5, 7, 4, 2, 3, 1, 1]",loss
13,RandomAgent,SmartAgent,"[7, 1, 2, 4, 1, 3, 7, 5, 4, 6]",loss
14,RandomAgent,SmartAgent,"[7, 6, 6, 4, 6, 4, 4, 5, 6, 3]",loss
15,RandomAgent,SmartAgent,"[1, 4, 1, 6, 6, 6, 5, 3, 5, 6, 5, 5, 5, 3, 5, 2, 1, 1, 6, 4, 7, 4]",loss
16,RandomAgent,SmartAgent,"[7, 4, 6, 7, 3, 3, 7, 3, 4, 2, 7, 2, 5, 7, 4, 2, 6, 2]",loss
17,RandomAgent,SmartAgent,"[5, 3, 3, 7, 1, 3, 6, 4, 3, 2, 7, 3, 2, 2, 4, 1, 6, 5, 4, 7, 2, 3, 6, 6, 4, 4, 5, 5, 1, 1, 1, 7, 2, 1, 5, 5, 2, 6, 7, 6, 7]",draw
18,RandomAgent,SmartAgent,"[7, 2, 7, 1, 6, 2, 4, 5, 5, 6, 4, 4, 1, 3, 2, 4, 6, 1, 4, 2, 6, 2, 3, 3]",loss
19,RandomAgent,SmartAgent,"[4, 7, 3, 1, 5, 2, 4, 6, 1, 5, 4, 4, 1, 5, 3, 6]",loss
20,RandomAgent,SmartAgent,"[5, 2, 5, 3, 3, 7, 1, 6, 7, 7, 1, 7, 7, 3, 7, 2, 5, 5, 3, 4, 5, 3, 6, 4, 3, 5, 2, 2, 6, 6, 4, 4]",loss
21,RandomAgent,SmartAgent,"[7, 3, 4, 6, 4, 1, 3, 1, 4, 4, 7, 5, 3, 1, 5, 1]",loss
22,RandomAgent,SmartAgent,"[6, 7, 3, 2, 1, 7, 1, 3, 2, 3, 7, 1, 1, 3, 3, 5, 3, 2, 7, 6, 6, 6, 2, 2, 7, 4, 2, 1, 5, 6, 6, 5, 7]",win
23,RandomAgent,SmartAgent,"[3, 2, 3, 2, 1, 6, 1, 2, 6, 2]",loss
24,RandomAgent,SmartAgent,"[6, 3, 1, 1, 7, 3, 6, 2, 6, 6, 6, 1, 1, 1, 1, 2, 2, 5, 3, 4]",loss
25,RandomAgent,SmartAgent,"[4, 5, 7, 4, 6, 2, 6, 6, 1, 1, 4, 4, 5, 5, 1, 5, 5, 4, 1, 4, 1, 1, 7, 2, 6, 3, 7, 3]",loss
26,RandomAgent,SmartAgent,"[7, 1, 4, 7, 3, 2, 6, 5, 1, 5, 3, 3, 5, 5, 2, 4, 2, 2]",loss
27,RandomAgent,SmartAgent,"[2, 3, 2, 4, 5, 3, 5, 6, 5, 5, 6, 5, 6, 3, 1, 3]",loss
28,RandomAgent,SmartAgent,"[6, 6, 7, 6, 3, 6, 1, 6]",loss
29,RandomAgent,SmartAgent,"[5, 7, 5, 5, 3, 2, 7, 6, 2, 5, 2, 4, 1, 4, 3, 1, 2, 2, 4, 2, 6, 1, 7, 6, 6, 1, 6, 1]",loss
30,RandomAgent,SmartAgent,"[2, 5, 3, 6, 1, 4, 4, 5, 3, 5, 3, 5]",loss
31,RandomAgent,SmartAgent,"[6, 1, 2, 5, 4, 3, 3, 2, 2, 7, 4, 7, 7, 5, 6, 5, 6, 5]",loss
32,RandomAgent,SmartAgent,"[6, 4, 5, 3, 5, 1, 4, 2]",loss
33,RandomAgent,SmartAgent,"[4, 1, 1, 1, 4, 3, 7, 7, 5, 6, 6, 1, 4, 4, 5, 3, 3, 2, 1, 2, 6, 5, 6, 6, 6, 4, 3, 2, 4, 2]",loss
34,RandomAgent,SmartAgent,"[3, 2, 2, 7, 7, 7, 4, 2, 6, 5, 5, 3, 1, 6, 6, 3, 6, 1, 5, 4, 3, 2]",loss
35,RandomAgent,SmartAgent,"[3, 7, 5, 5, 1, 6, 2, 4, 2, 4, 1, 7, 4, 6]",loss
36,RandomAgent,SmartAgent,"[1, 3, 5, 5, 5, 7, 4, 4, 7, 4, 2, 4, 1, 4]",loss
37,RandomAgent,SmartAgent,"[7, 1, 4, 7, 4, 7, 2, 1, 3, 5, 1, 7, 7, 6, 7, 4, 5, 3, 1, 3, 2, 5, 4, 2]",loss
38,RandomAgent,SmartAgent,"[5, 1, 3, 7, 6, 4, 4, 5, 7, 7, 5, 4, 3, 2, 6, 5, 2, 1, 2, 2, 4, 7, 4, 6]",loss
39,RandomAgent,SmartAgent,"[5, 7, 6, 4, 3, 2, 4, 6, 6, 5, 4, 3, 4, 4, 3, 5, 6, 7, 4, 2, 5, 3, 7, 5, 1, 6, 5, 3]",loss
40,RandomAgent,SmartAgent,"[7, 6, 1, 3, 6, 6, 5, 4, 4, 7, 6, 2, 4, 6, 7, 3, 2, 5, 2, 7]",loss
41,RandomAgent,SmartAgent,"[2, 6, 1, 3, 7, 1, 7, 5, 4, 2, 5, 3, 4, 6, 2, 6, 4, 6]",loss
42,RandomAgent,SmartAgent,"[4, 1, 4, 6, 7, 7, 1, 5, 7, 5, 5, 6, 7, 4, 6, 3, 1, 3, 4, 6, 7, 7, 1, 1, 2, 2, 4, 6, 2, 5]",loss
43,RandomAgent,SmartAgent,"[6, 7, 7, 6, 2, 1, 5, 1, 3, 4, 2, 7, 5, 2, 7, 3, 7, 3, 4, 4, 7, 1]",loss
44,RandomAgent,SmartAgent,"[4, 4, 7, 1, 3, 5, 4, 7, 1, 6, 7, 6, 6, 5]",loss
45,RandomAgent,SmartAgent,"[4, 5, 1, 6, 1, 1, 7, 2, 7, 6, 2, 3, 1, 1, 1, 6, 7, 6]",loss
46,RandomAgent,SmartAgent,"[1, 5, 2, 1, 5, 7, 4, 3, 6, 3, 2, 5, 1, 3, 1, 3]",loss
